chrom,systematic name,common name,Simple Type,Half-Life           (in minutes),Description
chr7,YGL078C,DBP3,CDS,7,Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis
chr14,YNL182C,IPI3,CDS,7,"Essential component of the Rix1 complex (Rix1p, Ipi1p, Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA  highly conserved and contains WD40 motifs  Rix1 complex associates with Mdn1p in pre-60S ribosomal particles"
chr3,YCR057C,PWP2,CDS,7,"Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites  contains eight WD-repeats  PWP2 deletion leads to defects in cell cycle and bud morphogenesis"
chr13,YMR290C,HAS1,CDS,7,ATP-dependent RNA helicase  localizes to both the nuclear periphery and nucleolus  highly enriched in nuclear pore complex fractions  constituent of 66S pre-ribosomal particles
chr4,YDR324C,UTP4,CDS,7,Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal subunit  member of t-Utp subcomplex involved with transcription of 35S rRNA transcript
chr4,YDR101C,ARX1,CDS,7,Shuttling pre-60S factor  involved in the biogenesis of ribosomal large subunit biogenesis  interacts directly with Alb1  responsible for Tif6 recycling defects in absence of Rei1  associated with the ribosomal export complex
chr8,YHR040W,BCD1,CDS,7,Essential protein required for the accumulation of box C/D snoRNA
chr11,YKR024C,DBP7,CDS,7,Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis  essential for growth under anaerobic conditions
chr9,YIL064W,YIL064W,CDS,7,Protein with a role in intracellular transport  has sequence similarity to S-adenosylmethionine-dependent methyltransferases of the seven beta-strand family
chr3,YCR087C-A,YCR087C-A,CDS,7,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the nucleolus  YCR087C-A is not an essential gene
chr8,YHR169W,DBP8,CDS,7,"ATPase, putative RNA helicase of the DEAD-box family  component of 90S preribosome complex involved in production of 18S rRNA and assembly of 40S small ribosomal subunit  ATPase activity stimulated by association with Esp2p"
chr4,YDR060W,MAK21,CDS,7,"Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis  involved in nuclear export of pre-ribosomes  required for maintenance of dsRNA virus  homolog of human CAATT-binding protein"
chr10,YJL109C,UTP10,CDS,7,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
chr15,YOR004W,YOR004W,CDS,7,"Essential nucleolar protein that is a component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis  has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function"
chr8,YHR085W,IPI1,CDS,7,Essential component of the Rix1 complex (with Rix1p and Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA  Rix1 complex associates with Mdn1p in pre-60S ribosomal particles
chr4,YDR465C,RMT2,CDS,7,Arginine methyltransferase  ribosomal protein L12 is a substrate
chr8,YHR066W,SSF1,CDS,7,"Constituent of 66S pre-ribosomal particles, required for ribosomal large subunit maturation  functionally redundant with Ssf2p  member of the Brix family"
chr16,YPL183C,YPL183C,CDS,7,Cytoplasmic protein with a role in regulation of Ty1 transposition
chr15,YOR272W,YTM1,CDS,7,"Constituent of 66S pre-ribosomal particles, required for maturation of the large ribosomal subunit"
chr14,YNL151C,RPC31,CDS,7,RNA polymerase III subunit C31  contains HMG-like C-terminal domain
chr4,YDR021W,FAL1,CDS,7,"Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases"
chr4,YDR083W,YDR083W,CDS,7,"Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2  also involved in telomere maintenance  mutation is synthetically lethal with a gar1 mutation"
chr9,YIL103W,YIL103W,CDS,8,"Protein required, along with Dph2p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p)  may act in a complex with Dph2p and Kti11p"
chr15,YOR340C,RPA43,CDS,8,RNA polymerase I subunit A43
chr9,YIL096C,YIL096C,CDS,8,Putative protein of unknown function  associates with precursors of the 60S ribosomal subunit
chr13,YMR259C,YMR259C,CDS,8,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm  YMR259C is not an essential gene
chr16,YPL266W,DIM1,CDS,8,"Essential 18S rRNA dimethylase (dimethyladenosine transferase), responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing"
chr11,YKL014C,URB1,CDS,8,"Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle  proposed to be involved in the biogenesis of the 60S ribosomal subunit"
chr4,YDR496C,PUF6,CDS,8,"Pumilio-homology domain protein that binds ASH1 mRNA at PUF consensus sequences in the 3' UTR and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA"
chr7,YGR280C,PXR1,CDS,8,"Essential protein involved in rRNA and snoRNA maturation  competes with TLC1 RNA for binding to Est2p, suggesting a role in negative regulation of telomerase  human homolog inhibits telomerase  contains a G-patch RNA interacting domain"
chr4,YDR384C,ATO3,CDS,8,"Plasma membrane protein, regulation pattern suggests a possible role in export of ammonia from the cell  phosphorylated in mitochondria  member of the TC 9.B.33 YaaH family of putative transporters"
chr7,YGL120C,PRP43,CDS,8,"RNA helicase in the DEAH-box family, functions in both RNA polymerase I and polymerase II transcript metabolism, involved in release of the lariat-intron from the spliceosome"
chr15,YOL077C,BRX1,CDS,8,"Nucleolar protein, constituent of 66S pre-ribosomal particles  depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits  possesses a sigma(70)-like RNA-binding motif"
chr12,YLR002C,NOC3,CDS,8,Protein that forms a nuclear complex with Noc2p that binds to 66S ribosomal precursors to mediate their intranuclear transport  also binds to chromatin to promote the association of DNA replication factors and replication initiation
chr14,YNL175C,NOP13,CDS,8,"Protein of unknown function, localizes to the nucleolus and nucleoplasm  contains an RNA recognition motif (RRM) and has similarity to Nop12p, which is required for processing of pre-18S rRNA"
chr7,YGR271C-A,YGR271C-A,CDS,8,Essential protein required for maturation of 18S rRNA  null mutant is sensitive to hydroxyurea and is delayed in recovering from alpha-factor arrest  green fluorescent protein (GFP)-fusion protein localizes to the nucleolus
chr2,YBR267W,REI1,CDS,8,"Cytoplasmic pre-60S factor  required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis  involved in bud growth in the mitotic signaling network"
chr15,YOR119C,RIO1,CDS,8,Essential serine kinase involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA
chr4,YDR087C,RRP1,CDS,8,"Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to mature rRNAs, associated with several distinct 66S pre-ribosomal particles"
chr16,YPL126W,NAN1,CDS,8,"U3 snoRNP protein, component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA  required for the biogenesis of18S rRNA"
chr2,YBR069C,TAT1,CDS,8,"Amino acid transport protein for valine, leucine, isoleucine, and tyrosine, low-affinity tryptophan and histidine transporter  overexpression confers FK506 and FTY720 resistance"
chr10,YJL122W,YJL122W,CDS,8,Shuttling pre-60S factor  involved in the biogenesis of ribosomal large subunit  interacts directly with Arx1p  responsible for Tif6p recycling defects in absence of Rei1p
chr2,YBR247C,ENP1,CDS,8,"Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis  localized in the nucleus and concentrated in the nucleolus"
chr2,YBR142W,MAK5,CDS,8,"Essential nucleolar protein, putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus  involved in biogenesis of large (60S) ribosomal subunits"
chr2,YBL006C,LDB7,CDS,8,"Component of the RSC chromatin remodeling complex  interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"
chr12,YLL034C,RIX7,CDS,8,"Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus  distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions"
chr14,YNL062C,GCD10,CDS,8,"Subunit of tRNA (1-methyladenosine) methyltransferase with Gcd14p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met  first identified as a negative regulator of GCN4 expression"
chr11,YKR081C,RPF2,CDS,8,Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit  interacts with ribosomal protein L11  localizes predominantly to the nucleolus  constituent of 66S pre-ribosomal particles
chr12,YLR432W,IMD3,CDS,8,"Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed"
chr2,YBR084W,MIS1,CDS,8,"Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF)  provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
chr3,YCR072C,YCR072C,CDS,8,"WD-repeat protein involved in ribosome biogenesis  may interact with ribosomes  required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus"
chr4,YDR299W,BFR2,CDS,8,Essential protein that is a component of 90S preribosomes  may be involved in rRNA processing  multicopy suppressor of sensitivity to Brefeldin A  expression is induced during lag phase and also by cold shock
chr7,YGR128C,UTP8,CDS,8,Nucleolar protein required for export of tRNAs from the nucleus  also copurifies with the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
chr15,YOR108W,LEU9,CDS,8,"Alpha-isopropylmalate synthase II (2-isopropylmalate synthase), catalyzes the first step in the leucine biosynthesis pathway  the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant"
chr1,YAL025C,MAK16,CDS,8,"Essential nuclear protein, constituent of 66S pre-ribosomal particles  required for maturation of 25S and 5.8S rRNAs  required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
chr12,YLL024C,SSA2,CDS,8,"ATP binding protein involved in protein folding and vacuolar import of proteins  member of heat shock protein 70 (HSP70) family  associated with the chaperonin-containing T-complex  present in the cytoplasm, vacuolar membrane and cell wall"
chr2,YBL028C,YBL028C,CDS,8,Protein of unknown function that may interact with ribosomes  green fluorescent protein (GFP)-fusion protein localizes to the nucleolus  predicted to be involved in ribosome biogenesis
chr16,YPL093W,NOG1,CDS,8,Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis  constituent of 66S pre-ribosomal particles  member of the ODN family of nucleolar G-proteins
chr15,YOR206W,NOC2,CDS,8,"Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-ribosomes  both complexes mediate intranuclear transport of ribosomal precursors"
chr5,YER006W,NUG1,CDS,8,"GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus"
chr15,YOL080C,REX4,CDS,8,Putative RNA exonuclease possibly involved in pre-rRNA processing and ribosome assembly
chr7,YGR187C,HGH1,CDS,8,Nonessential protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm  similar to mammalian BRP16 (Brain protein 16)
chr7,YGR055W,MUP1,CDS,8,"High affinity methionine permease, integral membrane protein with 13 putative membrane-spanning regions  also involved in cysteine uptake"
chr16,YPL043W,NOP4,CDS,8,"Nucleolar protein, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis  constituent of 66S pre-ribosomal particles  contains four RNA recognition motifs (RRMs)"
chr9,YIL127C,YIL127C,CDS,8,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the nucleolus
chr14,YNR024W,YNR024W,CDS,8,"Nuclear exosome-associated RNA binding protein  involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA)  copurifies with ribosomes"
chr2,YBR141C,YBR141C,CDS,8,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the nucleolus  YBR141C is not an essential gene
chr4,YDL039C,PRM7,CDS,8,"Pheromone-regulated protein, predicted to have one transmembrane segment  promoter contains Gcn4p binding elements"
chr7,YGR123C,PPT1,CDS,8,Protein serine/threonine phosphatase with similarity to human phosphatase PP5  present in both the nucleus and cytoplasm  expressed during logarithmic growth  computational analyses suggest roles in phosphate metabolism and rRNA processing
chr5,YER042W,MXR1,CDS,8,"Peptide methionine sulfoxide reductase, reverses the oxidation of methionine residues  involved in oxidative damage repair, providing resistance to oxidative stress and regulation of lifespan"
chr7,YGR200C,ELP2,CDS,8,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA  target of Kluyveromyces lactis zymocin"
chr4,YDL167C,NRP1,CDS,8,Putative RNA binding protein of unknown function  localizes to stress granules induced by glucose deprivation
chr7,YGL029W,CGR1,CDS,8,Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit  transcript is induced in response to cytotoxic stress but not genotoxic stress
chr16,YPL086C,ELP3,CDS,8,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA  exhibits histone acetyltransferase activity that is directed to histones H3 and H4  disruption confers resistance to K. lactis zymotoxin"
chr4,YDR120C,TRM1,CDS,9,"tRNA methyltransferase, localizes to both the nucleus and mitochondrion to produce the modified base N2,N2-dimethylguanosine in tRNAs in both compartments"
chr12,YLR401C,DUS3,CDS,9,"Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p  contains a consensus oleate response element (ORE) in its promoter region"
chr13,YMR239C,RNT1,CDS,9,RNAase III  involved in rDNA transcription and rRNA processing  also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end
chr5,YER137C,YER137C,CDS,9,Putative protein of unknown function
chr2,YBR155W,CNS1,CDS,9,"TPR-containing co-chaperone  binds both Hsp82p (Hsp90) and Ssa1p (Hsp70) and stimulates the ATPase activity of SSA1, ts mutants reduce Hsp82p function while over expression suppresses the phenotypes of an HSP82 ts allele and a cpr7 deletion"
chr9,YIL104C,SHQ1,CDS,9,"Protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Naf1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p"
chr4,YDL150W,RPC53,CDS,9,RNA polymerase III subunit C53
chr12,YLR009W,RLP24,CDS,9,"Essential protein with similarity to Rpl24Ap and Rpl24Bp, associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis"
chr11,YKL099C,UTP11,CDS,9,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit
chr7,YGR145W,YGR145W,CDS,9,"Essential nucleolar protein of unknown function  contains WD repeats, interacts with Mpp10p and Bfr2p, and has homology to Spb1p"
chr6,YFL023W,BUD27,CDS,9,"Protein involved in bud-site selection, nutrient signaling, and gene expression controlled by TOR kinase  diploid mutants show a random budding pattern rather than the wild-type bipolar pattern  plays a role in regulating Ty1 transposition"
chr4,YDR161W,YDR161W,CDS,9,Putative protein of unknown function  non-essential gene  proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation
chr10,YJL010C,YJL010C,CDS,9,Essential subunit of U3-containing 90S preribosome involved in production of 18S rRNA and assembly of small ribosomal subunit  also part of pre-40S ribosome and required for its export into cytoplasm  binds RNA and contains pumilio domain
chr5,YER110C,KAP123,CDS,9,"Karyopherin beta, mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4  localizes to the nuclear pore, nucleus, and cytoplasm  exhibits genetic interactions with RAI1"
chr7,YGL147C,RPL9A,CDS,9,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Bp and has similarity to E. coli L6 and rat L9 ribosomal proteins"
chr4,YDL213C,NOP6,CDS,9,Putative RNA-binding protein implicated in ribosome biogenesis  contains an RNA recognition motif (RRM) and has similarity to hydrophilins  NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes
chr2,YBR092C,PHO3,CDS,9,"Constitutively expressed acid phosphatase similar to Pho5p  brought to the cell surface by transport vesicles  hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake  expression is repressed by thiamin"
chr7,YGR211W,ZPR1,CDS,9,"Essential protein with two zinc fingers, present in the nucleus of growing cells but relocates to the cytoplasm in starved cells via a process mediated by Cpr1p  binds to translation elongation factor eEF-1 (Tef1p)"
chr8,YHR170W,NMD3,CDS,9,Protein involved in nuclear export of the large ribosomal subunit  acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex
chr8,YHR052W,CIC1,CDS,9,Essential protein that interacts with proteasome components and has a potential role in proteasome substrate specificity  also copurifies with 66S pre-ribosomal particles
chr14,YNR054C,YNR054C,CDS,9,Essential nucleolar protein involved in pre-18S rRNA processing  binds to RNA and stimulates ATPase activity of Dbp8  involved in assembly of the small subunit (SSU) processome
chr16,YPL211W,NIP7,CDS,9,"Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles  physically interacts with Nop8p and the exosome subunit Rrp43p"
chr11,YKL191W,DPH2,CDS,9,"Protein required, along with Dph1p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p)  may act in a complex with Dph1p and Kti11p"
chr7,YGL099W,LSG1,CDS,9,Putative GTPase involved in 60S ribosomal subunit biogenesis  required for the release of Nmd3p from 60S subunits in the cytoplasm
chr4,YDL060W,TSR1,CDS,9,"Protein required for processing of 20S pre-rRNA in the cytoplasm, associates with pre-40S ribosomal particles"
chr10,YJR002W,MPP10,CDS,9,"Component of the SSU processome and 90S preribosome, required for pre-18S rRNA processing, interacts with and controls the stability of Imp3p and Imp4p, essential for viability  similar to human Mpp10p"
chr14,YNL061W,NOP2,CDS,9,"Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis  localized to the nucleolus  constituent of 66S pre-ribosomal particles"
chr12,YLR363W-A,YLR363W-A,CDS,9,Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the nucleus
chr10,YJL198W,PHO90,CDS,9,"Low-affinity phosphate transporter  deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality  transcription independent of Pi and Pho4p activity  overexpression results in vigorous growth"
chr12,YLR129W,DIP2,CDS,9,"Nucleolar protein, specifically associated with the U3 snoRNA, part of the large ribonucleoprotein complex known as the small subunit (SSU) processome, required for 18S rRNA biogenesis, part of the active pre-rRNA processing complex"
chr3,YCL058W-A,YCL058W-A,CDS,9,Protein of unknown function  identified by homology to Ashbya gossypii
chr4,YDR449C,UTP6,CDS,9,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
chr13,YMR011W,HXT2,CDS,9,"High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose"
chr14,YNL162W-A,YNL162W-A,CDS,9,Putative protein of unknown function  identified by homology
chr12,YLR276C,DBP9,CDS,9,ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 60S ribosomal subunit
chr16,YPL193W,RSA1,CDS,9,Protein involved in the assembly of 60S ribosomal subunits  functionally interacts with Dbp6p  functions in a late nucleoplasmic step of the assembly
chr14,YNR003C,RPC34,CDS,9,RNA polymerase III subunit C34  interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex
chr13,YML060W,OGG1,CDS,9,"Mitochondrial glycosylase/lyase that specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA"
chr12,YLR068W,FYV7,CDS,9,Essential protein required for maturation of 18S rRNA  required for survival upon exposure to K1 killer toxin
chr11,YKL029C,MAE1,CDS,9,"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"
chr4,YDR165W,TRM82,CDS,9,Subunit of a tRNA methyltransferase complex composed of Trm8p and Trm82p that catalyzes 7-methylguanosine modification of tRNA
chr12,YLR196W,PWP1,CDS,9,Protein with WD-40 repeats involved in rRNA processing  associates with trans-acting ribosome biogenesis factors  similar to beta-transducin superfamily
chr14,YNL227C,JJJ1,CDS,9,"Co-chaperone that stimulates the ATPase activity of Ssa1p, required for a late step of ribosome biogenesis  associated with the cytosolic large ribosomal subunit  contains a J-domain  mutation causes defects in fluid-phase endocytosis"
chr10,YJL125C,GCD14,CDS,9,"Subunit of tRNA (1-methyladenosine) methyltransferase, with Gcd10p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met  first identified as a negative regulator of GCN4 expression"
chr4,YDR361C,BCP1,CDS,9,"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"
chr10,YJL212C,OPT1,CDS,9,Proton-coupled oligopeptide transporter of the plasma membrane  also transports glutathione and phytochelatin  member of the OPT family
chr2,YBL042C,FUI1,CDS,9,"High affinity uridine permease, localized to the plasma membrane  not involved in uracil transport"
chr4,YDL112W,TRM3,CDS,9,"2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs"
chr4,YDL201W,TRM8,CDS,9,Subunit of a tRNA methyltransferase complex composed of Trm8p and Trm82p that catalyzes 7-methylguanosine modification of tRNA
